symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
A,2015-12-07 00:00:00+00:00,40.7,41.1,40.54,40.92,2004492,38.8503828341,39.2322047784,38.6976540564,39.0603849035,2004492,0.0,1.0
A,2015-12-08 00:00:00+00:00,41.17,41.28,40.42,40.61,4331832,39.2990236187,39.4040246534,38.5831074731,38.7644728967,4331832,0.0,1.0
A,2015-12-09 00:00:00+00:00,40.98,41.8,40.9125,41.25,4133291,39.1176581952,39.900393181,39.0532257421,39.3753880076,4133291,0.0,1.0
A,2015-12-10 00:00:00+00:00,41.25,41.66,40.65,40.96,3709236,39.3753880076,39.7667555005,38.8026550911,39.0985670979,3709236,0.0,1.0
A,2015-12-11 00:00:00+00:00,40.19,40.75,40.055,40.75,2634362,38.3635598551,38.8981105772,38.2346949489,38.8981105772,2634362,0.0,1.0
A,2015-12-14 00:00:00+00:00,40.25,40.54,39.9,40.22,2310338,38.4208331468,38.6976540564,38.0867389455,38.392196501,2310338,0.0,1.0
A,2015-12-15 00:00:00+00:00,40.81,41.1,40.56,40.75,2195375,38.9553838688,39.2322047784,38.7167451536,38.8981105772,2195375,0.0,1.0
A,2015-12-16 00:00:00+00:00,41.43,41.57,40.67,41.01,2582642,39.5472078825,39.680845563,38.8217461883,39.146294841,2582642,0.0,1.0
A,2015-12-17 00:00:00+00:00,40.78,41.63,40.77,41.55,2218837,38.926747223,39.7381188547,38.9172016744,39.6617544658,2218837,0.0,1.0
A,2015-12-18 00:00:00+00:00,40.1,40.7099,40.08,40.56,3331879,38.2776499177,38.8598329273,38.2585588204,38.7167451536,3331879,0.0,1.0
A,2015-12-21 00:00:00+00:00,40.83,41.12,40.44,40.51,1735159,38.974474966,39.2512958757,38.6021985703,38.6690174106,1735159,0.0,1.0
A,2015-12-22 00:00:00+00:00,41.22,41.33,40.715,41.01,1643172,39.3467513617,39.4517523964,38.864701157,39.146294841,1643172,0.0,1.0
A,2015-12-23 00:00:00+00:00,41.77,41.86,41.39,41.62,1510716,39.8717565352,39.9576664726,39.5090256881,39.7285733061,1510716,0.0,1.0
A,2015-12-24 00:00:00+00:00,42.14,42.26,41.67,41.79,874549,40.2249418337,40.339488417,39.7763010491,39.8908476324,874549,0.0,1.0
A,2015-12-28 00:00:00+00:00,41.78,42.08,41.52,42.02,1458242,39.8813020838,40.167668542,39.63311782,40.1103952504,1458242,0.0,1.0
A,2015-12-29 00:00:00+00:00,42.36,42.48,41.9201,42.08,1757360,40.434943903,40.5494904863,40.0150352198,40.167668542,1757360,0.0,1.0
A,2015-12-30 00:00:00+00:00,42.17,42.38,42.01,42.36,834358,40.2535784795,40.4540350003,40.1008497018,40.434943903,834358,0.0,1.0
A,2015-12-31 00:00:00+00:00,41.81,42.35,41.715,41.9,1450968,40.0197125386,40.5365899548,39.9287804006,40.1058587746,1450968,0.115,1.0
A,2016-01-04 00:00:00+00:00,40.69,41.19,40.34,41.06,3287335,38.9476704902,39.4262606904,38.6126573501,39.3018272383,3287335,0.0,1.0
A,2016-01-05 00:00:00+00:00,40.55,40.95,40.34,40.73,2587246,38.8136652342,39.1965373943,38.6126573501,38.9859577062,2587246,0.0,1.0
A,2016-01-06 00:00:00+00:00,40.73,40.99,40.05,40.24,2103619,38.9859577062,39.2348246103,38.335075034,38.5169393101,2103619,0.0,1.0
A,2016-01-07 00:00:00+00:00,39.0,40.15,38.81,40.14,3504314,37.3300356136,38.430793074,37.1481713376,38.42122127,3504314,0.0,1.0
A,2016-01-08 00:00:00+00:00,38.59,39.705,38.465,39.22,3736768,36.9375916495,38.0048477959,36.8179440994,37.5406153017,3736768,0.0,1.0
A,2016-01-11 00:00:00+00:00,37.94,38.9,37.41,38.71,2818611,36.3154243892,37.2343175736,35.8081187771,37.0524532975,2818611,0.0,1.0
A,2016-01-12 00:00:00+00:00,38.19,38.58,37.6462,38.43,1989379,36.5547194893,36.9280198455,36.0342047876,36.7844427854,1989379,0.0,1.0
A,2016-01-13 00:00:00+00:00,36.86,38.47,36.715,38.35,4206638,35.2816695569,36.8227300014,35.1428783988,36.7078683534,4206638,0.0,1.0
A,2016-01-14 00:00:00+00:00,37.61,37.8799,36.55,36.94,2893372,35.9995548571,36.2578978472,34.9849436328,35.3582439889,2893372,0.0,1.0
A,2016-01-15 00:00:00+00:00,37.11,37.56,36.55,36.67,2994386,35.520964657,35.9516958371,34.9849436328,35.0998052808,2994386,0.0,1.0
A,2016-01-19 00:00:00+00:00,37.2,37.92,36.79,37.64,2506559,35.607110893,36.2962807812,35.2146669288,36.0282702691,2506559,0.0,1.0
A,2016-01-20 00:00:00+00:00,37.26,37.61,36.13,36.68,2469088,35.664541717,35.9995548571,34.5829278646,35.1093770848,2469088,0.0,1.0
A,2016-01-21 00:00:00+00:00,37.23,37.83,36.81,37.35,2298372,35.635826305,36.2101345452,35.2338105369,35.750687953,2298372,0.0,1.0
A,2016-01-22 00:00:00+00:00,37.98,38.18,37.58,37.91,1834467,36.3537116053,36.5451476853,35.9708394451,36.2867089772,1834467,0.0,1.0
A,2016-01-25 00:00:00+00:00,37.61,38.03,37.4,37.4,1831240,35.9995548571,36.4015706253,35.7985469731,35.7985469731,1831240,0.0,1.0
A,2016-01-26 00:00:00+00:00,37.51,37.96,37.36,37.89,1755032,35.9038368171,36.3345679973,35.760259757,36.2675653692,1755032,0.0,1.0
